17:53:05.923 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.DemoApplicationTests], using SpringBootContextLoader
17:53:05.928 [main] INFO  o.s.t.c.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.demo.DemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
17:53:05.930 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.DemoApplicationTests]: DemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
17:53:06.121 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.demo.DemoApplication for test class com.example.demo.DemoApplicationTests
17:53:06.282 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
17:53:06.304 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@57af006c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6bedbc4d, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@932bc4a, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@d29f28, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2fd1433e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@29d89d5d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3514a4c0, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@212b5695, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@446293d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@69997e9d]
17:53:06.841 [main] INFO  com.example.demo.DemoApplicationTests - Starting DemoApplicationTests on xing with PID 10784 (started by zhuxing in D:\workspace\springboot-zipkin\Springboot-Zipkin1)
17:53:06.842 [main] INFO  com.example.demo.DemoApplicationTests - No active profile set, falling back to default profiles: default
17:53:10.034 [main] INFO  o.s.s.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
17:53:10.447 [main] INFO  com.example.demo.DemoApplicationTests - Started DemoApplicationTests in 4.075 seconds (JVM running for 5.529)
17:53:10.854 [Thread-2] INFO  o.s.s.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
17:53:23.282 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.DemoApplicationTests], using SpringBootContextLoader
